Class,Baseline_MLP_Accuracy,Baseline_MLP_F1,Expert_Ensemble_Accuracy,Expert_Ensemble_F1,XGBoost_Accuracy,XGBoost_F1
BENIGN,1.0,0.890996865269328,1.0,0.890996865269328,0.9993881979421737,0.9995150449775607
Bot,0.0,0.0,0.0,0.0,0.7262658227848101,0.8322756119673618
DDoS,0.0,0.0,0.0,0.0,0.9996624691678567,0.9997663005375088
DoS GoldenEye,0.0,0.0,0.0,0.0,0.994429882044561,0.9957349081364829
DoS Hulk,0.0,0.0,0.0,0.0,0.9998256320836966,0.999005466305634
DoS Slowhttptest,0.0,0.0,0.0,0.0,0.9903730445246691,0.9924630690382876
DoS slowloris,0.0,0.0,0.0,0.0,0.9971687429218573,0.9977337110481587
FTP-Patator,0.0,0.0,0.0,0.0,0.9995742869306088,0.9997870981477539
Heartbleed,0.0,0.0,0.0,0.0,1.0,1.0
Infiltration,0.0,0.0,0.0,0.0,0.35714285714285715,0.5263157894736842
PortScan,0.0,0.0,0.0,0.0,0.9996639855513787,0.9968691427314897
SSH-Patator,0.0,0.0,0.0,0.0,0.9976484420928865,0.9988228369629194
Web Attack � Brute Force,0.0,0.0,0.0,0.0,0.9477124183006536,0.830945558739255
Web Attack � Sql Injection,0.0,0.0,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0,0.0,0.0,0.0,0.13714285714285715,0.2191780821917808
