Expert,Epoch,Accuracy,F1_Score
0,1,0.9841290112850044,0.984100086649918
1,1,1.0,1.0
2,1,0.31528177356574716,0.16483110116016964
3,1,1.0,1.0
0,5,0.9808665768819951,0.9808271445006148
1,5,1.0,1.0
2,5,0.25825012692502963,0.10600933253196912
3,5,1.0,1.0
0,10,0.9277388194863697,0.9268082748065762
1,10,1.0,1.0
2,10,0.22643425283465898,0.101149298142863
3,10,1.0,1.0
0,15,0.9948219012678214,0.9948242503347695
1,15,1.0,1.0
2,15,0.35784396683025893,0.2228529763498498
3,15,1.0,1.0
0,20,0.7551664886453351,0.7312774510092634
1,20,1.0,1.0
2,20,0.2589270604163141,0.10741377721718154
3,20,1.0,1.0
0,25,0.691508382482701,0.6469858331627153
1,25,1.0,1.0
2,25,0.22465730242003723,0.1130115149672328
3,25,1.0,1.0
0,30,0.8096061858542702,0.7978527260126556
1,30,1.0,1.0
2,30,0.25825012692502963,0.10600933253196912
3,30,1.0,1.0
0,35,0.8414062137184786,0.8343378492389156
1,35,1.0,1.0
2,35,0.25825012692502963,0.10600933253196912
3,35,1.0,1.0
0,40,0.44716249477546094,0.27633979937386177
1,40,1.0,1.0
2,40,0.25825012692502963,0.10600933253196912
3,40,1.0,1.0
0,45,0.44716249477546094,0.27633979937386177
1,45,1.0,1.0
2,45,0.25825012692502963,0.10600933253196912
3,45,1.0,1.0
0,50,0.44716249477546094,0.27633979937386177
1,50,1.0,1.0
2,50,0.25825012692502963,0.10600933253196912
3,50,1.0,1.0
0,55,0.44716249477546094,0.27633979937386177
1,55,1.0,1.0
2,55,0.05347774581147402,0.005429387205277363
3,55,1.0,1.0
0,60,0.44716249477546094,0.27633979937386177
1,60,1.0,1.0
2,60,0.05347774581147402,0.005429387205277363
3,60,1.0,1.0
0,65,0.44716249477546094,0.27633979937386177
1,65,1.0,1.0
2,65,0.05347774581147402,0.005429387205277363
3,65,1.0,1.0
0,70,0.44716249477546094,0.27633979937386177
1,70,1.0,1.0
2,70,0.05347774581147402,0.005429387205277363
3,70,1.0,1.0
0,75,0.44716249477546094,0.27633979937386177
1,75,1.0,1.0
2,75,0.05347774581147402,0.005429387205277363
3,75,1.0,1.0
0,80,0.44716249477546094,0.27633979937386177
1,80,1.0,1.0
2,80,0.05347774581147402,0.005429387205277363
3,80,1.0,1.0
0,85,0.44716249477546094,0.27633979937386177
1,85,1.0,1.0
2,85,0.05347774581147402,0.005429387205277363
3,85,1.0,1.0
0,90,0.44716249477546094,0.27633979937386177
1,90,1.0,1.0
2,90,0.05347774581147402,0.005429387205277363
3,90,1.0,1.0
0,95,0.44716249477546094,0.27633979937386177
1,95,1.0,1.0
2,95,0.05347774581147402,0.005429387205277363
3,95,1.0,1.0
0,100,0.44716249477546094,0.27633979937386177
1,100,1.0,1.0
2,100,0.05347774581147402,0.005429387205277363
3,100,1.0,1.0
