Class_Index,Class_Name,Baseline_Accuracy,Baseline_F1,Ensemble_Accuracy,Ensemble_F1,XGBoost_Accuracy,XGBoost_F1
0,Class_0,0.91,0.5416666666666666,0.95,0.6462585034013606,0.74,0.29306930693069305
1,Class_1,0.9,0.4639175257731959,0.91,0.6254295532646048,0.63,0.1453287197231834
2,Class_2,0.71,0.3234624145785877,0.68,0.42902208201892744,0.24,0.07804878048780488
3,Class_3,0.56,0.25925925925925924,0.72,0.28857715430861725,0.31,0.06828193832599119
4,Class_4,0.64,0.26229508196721313,0.82,0.32669322709163345,0.29,0.06720741599073002
5,Class_5,0.79,0.42245989304812837,0.87,0.5288753799392097,0.23,0.13218390804597702
6,Class_6,0.78,0.4126984126984127,0.86,0.5058823529411764,0.32,0.17777777777777778
7,Class_7,0.77,0.42777777777777776,0.79,0.531986531986532,0.36,0.09424083769633508
8,Class_8,0.84,0.4883720930232558,0.89,0.7574468085106383,0.44,0.15602836879432624
9,Class_9,0.77,0.4888888888888889,0.86,0.6417910447761194,0.29,0.19863013698630136
10,Class_10,0.49,0.2857142857142857,0.67,0.41875,0.29,0.10320284697508897
11,Class_11,0.5,0.32679738562091504,0.65,0.3333333333333333,0.12,0.07741935483870968
12,Class_12,0.78,0.41935483870967744,0.83,0.5372168284789643,0.23,0.12534059945504086
13,Class_13,0.84,0.4067796610169492,0.84,0.4692737430167598,0.34,0.15011037527593818
14,Class_14,0.59,0.39464882943143814,0.73,0.5959183673469388,0.25,0.1457725947521866
15,Class_15,0.63,0.4359861591695502,0.78,0.5931558935361216,0.08,0.06986899563318777
16,Class_16,0.69,0.42201834862385323,0.74,0.5543071161048689,0.12,0.13259668508287292
17,Class_17,0.78,0.6215139442231076,0.93,0.6966292134831461,0.35,0.21021021021021022
18,Class_18,0.66,0.41379310344827586,0.67,0.4944649446494465,0.15,0.13574660633484162
19,Class_19,0.53,0.4380165289256198,0.58,0.5,0.05,0.05747126436781609
20,Class_20,0.8,0.6896551724137931,0.82,0.6666666666666666,0.39,0.35454545454545455
21,Class_21,0.64,0.5079365079365079,0.76,0.658008658008658,0.12,0.1340782122905028
22,Class_22,0.48,0.366412213740458,0.62,0.5849056603773585,0.21,0.18181818181818182
23,Class_23,0.82,0.5674740484429066,0.9,0.625,0.54,0.2394678492239468
24,Class_24,0.63,0.6,0.78,0.7536231884057971,0.56,0.2765432098765432
25,Class_25,0.4,0.36363636363636365,0.53,0.4140625,0.0,0.0
26,Class_26,0.35,0.30434782608695654,0.54,0.4595744680851064,0.06,0.07317073170731707
27,Class_27,0.34,0.2698412698412698,0.46,0.32167832167832167,0.06,0.07547169811320754
28,Class_28,0.66,0.6376811594202898,0.74,0.7047619047619048,0.08,0.08163265306122448
29,Class_29,0.46,0.4339622641509434,0.6,0.5853658536585366,0.04,0.06722689075630252
30,Class_30,0.78,0.41935483870967744,0.82,0.5412541254125413,0.43,0.1915367483296214
31,Class_31,0.44,0.4444444444444444,0.54,0.631578947368421,0.05,0.07874015748031496
32,Class_32,0.35,0.34146341463414637,0.56,0.5067873303167421,0.02,0.03333333333333333
33,Class_33,0.58,0.453125,0.65,0.5508474576271186,0.27,0.2222222222222222
34,Class_34,0.48,0.4266666666666667,0.63,0.5407725321888412,0.0,0.0
35,Class_35,0.2,0.23391812865497075,0.3,0.3468208092485549,0.01,0.017699115044247787
36,Class_36,0.45,0.4639175257731959,0.68,0.6570048309178744,0.04,0.06060606060606061
37,Class_37,0.33,0.35294117647058826,0.58,0.5742574257425742,0.01,0.01680672268907563
38,Class_38,0.34,0.3469387755102041,0.45,0.4326923076923077,0.01,0.018867924528301886
39,Class_39,0.59,0.5592417061611374,0.7,0.7216494845360825,0.14,0.16666666666666666
40,Class_40,0.3,0.3333333333333333,0.45,0.4147465437788018,0.0,0.0
41,Class_41,0.67,0.6568627450980392,0.75,0.78125,0.13,0.203125
42,Class_42,0.46,0.4088888888888889,0.61,0.580952380952381,0.04,0.064
43,Class_43,0.43,0.47513812154696133,0.62,0.5933014354066986,0.05,0.07518796992481203
44,Class_44,0.08,0.10738255033557047,0.21,0.23076923076923078,0.05,0.04504504504504504
45,Class_45,0.23,0.2754491017964072,0.22,0.27672955974842767,0.0,0.0
46,Class_46,0.15,0.22058823529411764,0.24,0.2926829268292683,0.0,0.0
47,Class_47,0.52,0.5073170731707317,0.6,0.5150214592274678,0.1,0.16393442622950818
48,Class_48,0.62,0.6813186813186813,0.77,0.7738693467336684,0.0,0.0
49,Class_49,0.46,0.5380116959064327,0.57,0.6404494382022472,0.09,0.1267605633802817
50,Class_50,0.1,0.11494252873563218,0.2,0.23809523809523808,0.0,0.0
51,Class_51,0.31,0.3803680981595092,0.43,0.450261780104712,0.01,0.018867924528301886
52,Class_52,0.56,0.49122807017543857,0.64,0.5140562248995983,0.46,0.3511450381679389
53,Class_53,0.7,0.7253886010362695,0.7,0.7291666666666666,0.11,0.18032786885245902
54,Class_54,0.56,0.5463414634146342,0.55,0.55,0.03,0.05714285714285714
55,Class_55,0.07,0.1076923076923077,0.15,0.19480519480519481,0.0,0.0
56,Class_56,0.46,0.5786163522012578,0.56,0.6666666666666666,0.0,0.0
57,Class_57,0.26,0.35374149659863946,0.37,0.5103448275862069,0.0,0.0
58,Class_58,0.18,0.2647058823529412,0.58,0.6744186046511628,0.0,0.0
59,Class_59,0.25,0.32679738562091504,0.33,0.4429530201342282,0.03,0.0410958904109589
60,Class_60,0.71,0.7208121827411168,0.68,0.7391304347826086,0.12,0.1702127659574468
61,Class_61,0.18,0.288,0.29,0.4084507042253521,0.0,0.0
62,Class_62,0.45,0.5202312138728323,0.4,0.4444444444444444,0.11,0.16296296296296298
63,Class_63,0.21,0.32558139534883723,0.35,0.42424242424242425,0.01,0.01904761904761905
64,Class_64,0.08,0.11347517730496454,0.1,0.14285714285714285,0.0,0.0
65,Class_65,0.04,0.06837606837606838,0.19,0.21714285714285714,0.0,0.0
66,Class_66,0.11,0.17054263565891473,0.17,0.23943661971830985,0.0,0.0
67,Class_67,0.14,0.21212121212121213,0.23,0.2569832402234637,0.01,0.01834862385321101
68,Class_68,0.45,0.569620253164557,0.6,0.6936416184971098,0.12,0.18181818181818182
69,Class_69,0.37,0.4713375796178344,0.36,0.47368421052631576,0.05,0.08333333333333333
70,Class_70,0.19,0.2923076923076923,0.23,0.3194444444444444,0.0,0.0
71,Class_71,0.17,0.2786885245901639,0.26,0.3795620437956204,0.0,0.0
72,Class_72,0.03,0.05405405405405406,0.08,0.10810810810810811,0.0,0.0
73,Class_73,0.12,0.17518248175182483,0.15,0.20833333333333334,0.04,0.07017543859649122
74,Class_74,0.01,0.018691588785046728,0.06,0.0967741935483871,0.0,0.0
75,Class_75,0.26,0.3880597014925373,0.24,0.36363636363636365,0.0,0.0
76,Class_76,0.38,0.5205479452054794,0.42,0.56,0.0,0.0
77,Class_77,0.02,0.03773584905660377,0.08,0.11764705882352941,0.0,0.0
78,Class_78,0.06,0.10256410256410256,0.19,0.2638888888888889,0.01,0.017241379310344827
79,Class_79,0.1,0.17543859649122806,0.18,0.2926829268292683,0.0,0.0
80,Class_80,0.01,0.01818181818181818,0.01,0.015384615384615385,0.02,0.03571428571428571
81,Class_81,0.06,0.10619469026548672,0.08,0.13333333333333333,0.0,0.0
82,Class_82,0.35,0.5185185185185185,0.43,0.5771812080536913,0.0,0.0
83,Class_83,0.04,0.07339449541284404,0.09,0.13333333333333333,0.01,0.0196078431372549
84,Class_84,0.04,0.07272727272727272,0.06,0.10256410256410256,0.0,0.0
85,Class_85,0.07,0.12612612612612611,0.16,0.2644628099173554,0.0,0.0
86,Class_86,0.11,0.19130434782608696,0.18,0.2748091603053435,0.0,0.0
87,Class_87,0.07,0.12389380530973451,0.12,0.19672131147540983,0.0,0.0
88,Class_88,0.03,0.05454545454545454,0.12,0.20689655172413793,0.01,0.016666666666666666
89,Class_89,0.06,0.10714285714285714,0.08,0.14285714285714285,0.0,0.0
90,Class_90,0.01,0.019417475728155338,0.13,0.20967741935483872,0.0,0.0
91,Class_91,0.07,0.12612612612612611,0.12,0.2,0.01,0.019417475728155338
92,Class_92,0.03,0.05454545454545454,0.05,0.07874015748031496,0.0,0.0
93,Class_93,0.0,0.0,0.05,0.0847457627118644,0.0,0.0
94,Class_94,0.34,0.4927536231884058,0.45,0.5844155844155844,0.01,0.019801980198019802
95,Class_95,0.04,0.07407407407407407,0.0,0.0,0.0,0.0
96,Class_96,0.01,0.01904761904761905,0.03,0.05405405405405406,0.0,0.0
97,Class_97,0.13,0.22033898305084745,0.05,0.09009009009009009,0.0,0.0
98,Class_98,0.0,0.0,0.0,0.0,0.0,0.0
99,Class_99,0.0,0.0,0.04,0.07079646017699115,0.0,0.0
