expert,class_id,threshold,score_scale,local_prior
DoS_Like_Known,0,4.6454572677612305,0.43141746520996094,0.04088699817657471
DoS_Like_Known,1,4.6454572677612305,0.43141746520996094,0.9142399430274963
DoS_Like_Known,2,4.6454572677612305,0.43141746520996094,0.02184392139315605
DoS_Like_Known,3,4.6454572677612305,0.43141746520996094,0.02302914671599865
Credential_Web_Like_Known,4,1.494188904762268,1.3312013149261475,0.4961959421634674
Credential_Web_Like_Known,8,1.494188904762268,1.3312013149261475,0.3687337040901184
Credential_Web_Like_Known,9,1.494188904762268,1.3312013149261475,0.09421573579311371
Credential_Web_Like_Known,11,1.494188904762268,1.3312013149261475,0.04085461050271988
Rare_Fallback_Known,5,1.8922754526138306,0.13267207145690918,0.1666666716337204
Rare_Fallback_Known,6,1.8922754526138306,0.13267207145690918,0.523809552192688
Rare_Fallback_Known,10,1.8922754526138306,0.13267207145690918,0.3095238208770752
