true_class,normal,dos-hulk,dos-goldeneye,ftp-patator,ssh-patator,dos-slowloris,dos-slowhttptest,web-attack-brute-force,web-attack-xss,infiltration,web-attack-sql-injection,heartbleed
normal,334913,15591,2116,2421,7780,2161,962,27,1789,1024,2673,21
dos-hulk,28,45894,56,0,0,15,0,0,2,0,30,0
dos-goldeneye,0,17,1960,0,0,1,3,0,0,24,54,0
ftp-patator,0,3,0,1574,1,9,0,0,0,0,0,0
ssh-patator,3,1,0,5,1168,2,0,0,0,0,1,0
dos-slowloris,2,1,0,0,1,1127,26,0,0,0,2,0
dos-slowhttptest,0,0,2,0,1,5,1085,0,2,0,5,0
web-attack-brute-force,0,0,2,0,23,0,0,14,243,0,19,0
web-attack-xss,0,2,2,0,1,0,0,0,124,0,1,0
infiltration,1,0,0,0,0,0,0,0,0,6,0,0
web-attack-sql-injection,0,0,0,0,1,0,0,0,0,0,3,0
heartbleed,0,0,0,0,0,0,0,0,0,0,0,2
