class,support,exp0_ood_rate,expert_all_reject_rate,known_accept_rate,multi_accept_rate
airplane,1744,0.14793577981651376,0.0,0.8520642201834863,0.8428899082568807
automobile,5099,0.11041380662875074,0.0,0.8895861933712492,0.8813492841733673
bird,4149,0.1393106772716317,0.0009640877319836105,0.8597252349963846,0.8423716558206796
cat,2882,0.1065232477446218,0.00034698126301179735,0.8931297709923665,0.8730048577376822
deer,2523,0.1823226317875545,0.0011890606420927466,0.8164883075703527,0.79944510503369
dog,2384,0.12961409395973153,0.0,0.8703859060402684,0.8468959731543624
frog,1977,0.13555892766818411,0.0020232675771370764,0.8624178047546788,0.8391502276176024
horse,2019,0.08320950965824665,0.0,0.9167904903417533,0.9034175334323923
ship,1660,0.086144578313253,0.0,0.9138554216867469,0.9048192771084337
truck,1595,0.11473354231974922,0.0,0.8852664576802508,0.8733542319749217
