class,train_support,best_expert,aff_head,aff_balanced,aff_tail
apple,400,head,0.6,0.58,0.58
aquarium_fish,400,head,0.43,0.43,0.4
baby,400,head,0.22,0.18,0.19
bear,400,head,0.14,0.09,0.1
beaver,400,head,0.23,0.19,0.15
bed,400,balanced,0.28,0.29,0.23
bee,400,balanced,0.21,0.22,0.21
beetle,400,balanced,0.26,0.31,0.24
bicycle,400,balanced,0.23,0.32,0.3
bottle,400,balanced,0.23,0.26,0.25
bowl,400,balanced,0.16,0.2,0.12
boy,400,balanced,0.09,0.13,0.08
bridge,400,tail,0.31,0.26,0.32
bus,400,tail,0.16,0.17,0.21
butterfly,400,balanced,0.16,0.18,0.08
camel,400,head,0.09,0.06,0.08
can,400,head,0.27,0.22,0.21
castle,400,balanced,0.44,0.47,0.44
caterpillar,400,head,0.29,0.28,0.24
cattle,400,balanced,0.09,0.13,0.11
chair,400,balanced,0.67,0.71,0.63
chimpanzee,400,head,0.51,0.5,0.4
clock,400,tail,0.27,0.27,0.29
cloud,400,head,0.62,0.59,0.56
cockroach,400,tail,0.55,0.56,0.57
couch,400,tail,0.07,0.06,0.08
crab,400,balanced,0.17,0.22,0.18
crocodile,400,head,0.23,0.2,0.23
cup,400,head,0.39,0.38,0.36
dinosaur,400,head,0.21,0.2,0.18
dolphin,400,balanced,0.67,0.68,0.58
elephant,400,balanced,0.17,0.2,0.14
flatfish,400,head,0.11,0.11,0.11
forest,400,head,0.42,0.4,0.34
fox,400,head,0.19,0.13,0.14
girl,400,balanced,0.13,0.22,0.14
hamster,400,head,0.34,0.32,0.27
house,400,balanced,0.17,0.19,0.18
kangaroo,400,head,0.24,0.17,0.2
keyboard,400,head,0.28,0.24,0.19
lamp,400,head,0.26,0.25,0.21
lawn_mower,400,tail,0.62,0.65,0.66
leopard,400,balanced,0.23,0.25,0.16
lion,400,head,0.31,0.25,0.2
lizard,400,tail,0.16,0.09,0.18
lobster,400,balanced,0.1,0.14,0.14
man,400,head,0.09,0.07,0.06
maple_tree,400,head,0.5,0.49,0.45
motorcycle,400,head,0.35,0.34,0.33
mountain,400,head,0.44,0.42,0.44
mouse,400,head,0.1,0.08,0.08
mushroom,258,head,0.15384615384615385,0.09230769230769231,0.1076923076923077
oak_tree,167,balanced,0.47619047619047616,0.5,0.42857142857142855
orange,108,balanced,0.3333333333333333,0.4074074074074074,0.2962962962962963
orchid,70,head,0.058823529411764705,0.058823529411764705,0.058823529411764705
otter,45,head,0.0,0.0,0.0
palm_tree,29,head,0.0,0.0,0.0
pear,18,head,0.0,0.0,0.0
pickup_truck,12,head,0.0,0.0,0.0
pine_tree,8,head,0.0,0.0,0.0
plain,400,balanced,0.63,0.69,0.64
plate,258,head,0.35384615384615387,0.3384615384615385,0.27692307692307694
poppy,167,head,0.16666666666666666,0.14285714285714285,0.09523809523809523
porcupine,108,balanced,0.0,0.07407407407407407,0.07407407407407407
possum,70,head,0.0,0.0,0.0
rabbit,45,head,0.0,0.0,0.0
raccoon,29,head,0.0,0.0,0.0
ray,18,head,0.0,0.0,0.0
road,12,head,0.0,0.0,0.0
rocket,8,head,0.0,0.0,0.0
rose,400,balanced,0.37,0.41,0.39
sea,239,head,0.25,0.23333333333333334,0.25
seal,143,tail,0.0,0.0,0.027777777777777776
shark,86,head,0.19047619047619047,0.09523809523809523,0.09523809523809523
shrew,51,head,0.0,0.0,0.0
skunk,30,head,0.0,0.0,0.0
skyscraper,18,head,0.0,0.0,0.0
snail,11,head,0.0,0.0,0.0
snake,7,head,0.0,0.0,0.0
spider,4,head,0.0,0.0,0.0
squirrel,400,tail,0.15,0.17,0.18
streetcar,239,head,0.06666666666666667,0.06666666666666667,0.06666666666666667
sunflower,143,balanced,0.3333333333333333,0.4166666666666667,0.3055555555555556
sweet_pepper,86,head,0.0,0.0,0.0
table,51,head,0.0,0.0,0.0
tank,30,head,0.0,0.0,0.0
telephone,18,head,0.0,0.0,0.0
television,10,head,0.0,0.0,0.0
tiger,7,head,0.0,0.0,0.0
tractor,4,head,0.0,0.0,0.0
train,400,balanced,0.11,0.13,0.11
trout,239,balanced,0.31666666666666665,0.35,0.3
tulip,143,balanced,0.05555555555555555,0.08333333333333333,0.027777777777777776
turtle,86,tail,0.0,0.0,0.047619047619047616
wardrobe,51,balanced,0.0,0.3076923076923077,0.23076923076923078
whale,30,head,0.0,0.0,0.0
willow_tree,18,head,0.0,0.0,0.0
wolf,11,head,0.0,0.0,0.0
woman,7,head,0.0,0.0,0.0
worm,4,head,0.0,0.0,0.0
