expert,class,rows,helpful,harmful,neutral
1,benign,2390,166,0,2224
1,ddos,100000,261,137,99602
1,dos,100000,1061,566,98373
1,reconnaissance,100000,0,94,99906
1,theft,97,8,0,89
2,benign,2390,146,0,2244
2,ddos,100000,63,1918,98019
2,dos,100000,2291,1346,96363
2,reconnaissance,100000,0,216,99784
2,theft,97,8,0,89
3,benign,2390,167,0,2223
3,ddos,100000,52,1997,97951
3,dos,100000,1564,732,97704
3,reconnaissance,100000,0,265,99735
3,theft,97,13,0,84
4,benign,2390,194,0,2196
4,ddos,100000,52,2966,96982
4,dos,100000,1541,136,98323
4,reconnaissance,100000,0,208,99792
4,theft,97,12,0,85
